"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Twardosc.Brinella","Twardosc.Rockwella","Twardosc.Rockwella.1","Twardosc.Vickersa","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X"
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,400,120,585,480,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,385,120,701,636,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,371,120,1062,861,10.5,NA,NA,NA,NA,NA,NA,32,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,357,120,1105,946,9.6,NA,NA,NA,NA,NA,NA,28.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,343,120,1185,989,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,330,120,1277,1081,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,323,120,NA,NA,4,NA,NA,NA,NA,NA,NA,30,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,316,120,1326,1154,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,301,120,NA,NA,3.4,NA,NA,NA,NA,NA,NA,14.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,288,120,1470,1302,3.1,NA,NA,NA,NA,NA,NA,14,NA,NA
