"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Minimalna.grubosc.scianki","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X","Twardosc"
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,23.7,332
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,23.8,330
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,27.7,312
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,27.3,309
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,8.1,426
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,17.2,406
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,11.6,406
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,11.3,415
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,27.4,332
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,27.6,331
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,26.5,318
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,26.7,327
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,14.2,406
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,15.3,391
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,17,402
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,13.7,393
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,26.5,329
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,26.4,323
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,24.6,315
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,25.6,312
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,18.6,402
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,NA,NA,10,NA,NA,25,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,14.1,392
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,18.8,386
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,NA,NA,15,NA,NA,25,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,16.3,380
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,20.8,323
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,18.2,311
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,16.7,312
