"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.357366666667,5.368525,332
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.297366666667,5.368525,330
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,765.170133333333,5.396797,312
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,765.018133333333,5.43704866666667,309
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.429533333333,5.32007466666667,426
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,406
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,406
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.599533333333,5.32007466666667,415
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.357366666667,5.368525,332
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.297366666667,5.368525,331
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.630733333333,5.415165,318
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.529366666667,5.375325,327
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,406
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,391
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,402
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,393
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,773.297366666667,5.368525,329
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.7518,5.426745,323
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,769.923566666666,5.396657,315
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,765.170133333333,5.396797,312
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,402
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32007466666667,392
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.811533333333,5.32419466666667,386
3.53,0.22,2.27,0.026,0.009,0,0.45,0.43,0.04,772.949533333333,5.31679466666667,380
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.9119,4.72616066666666,323
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,759.017933333333,4.70360133333333,311
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,759.017933333333,4.70609466666666,312
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,757.096133333333,4.69212133333333,298
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63997666666666,405
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63997666666666,406
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63997666666666,422
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63997666666666,414
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.968966666667,4.63622666666666,334
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.324966666667,4.71554733333333,325
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.210966666667,4.68104066666666,326
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.324966666667,4.71554733333333,325
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63997666666666,404
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.63669666666666,380
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.100966666667,4.63709666666666,357
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.082966666667,4.64409666666666,386
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.9119,4.72616066666666,323
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.614833333333,4.71051266666666,319
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.614833333333,4.71888066666666,321
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.614833333333,4.71051266666666,319
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.324966666667,4.72366733333333,324
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.614833333333,4.71051266666666,320
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,765.100966666667,4.64527666666666,347
3.48,0.15,2.31,0.027,0.009,0,0.445,0.45,0.043,764.9119,4.72616066666666,323
3.6,0.25,2.24,0.05,0.02,0.001,0.001,0.9,0.06,709.748,6.82565266666665,343
3.6,0.25,2.24,0.05,0.02,0.001,0.001,0.9,0.06,707.691333333333,6.69206266666666,376
3.6,0.25,2.24,0.05,0.02,0.001,0.001,0.9,0.06,707.926666666667,6.68824266666666,426
3.6,0.25,2.24,0.05,0.02,0.001,0.001,0.9,0.06,707.926666666667,6.68748266666666,434
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,731.0093,5.58699533333332,306
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,730.0013,5.58699533333332,298
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,729.4813,5.60319533333332,295
